,cluster,country,fertility,life_expect,pop,year,population,flag,YEAR,P10
511,2,Nigeria,6.9,37.802,35458978,1955,35458978,1,55,7.5497262142
512,2,Nigeria,6.9,39.36,39914593,1960,39914593,1,60,7.6011317052
513,2,Nigeria,6.9,41.04,45020052,1965,45020052,1,65,7.6534059923
514,2,Nigeria,6.9,42.821,51027516,1970,51027516,1,70,7.7078044276
515,2,Nigeria,6.9,44.514,58522112,1975,58522112,1,75,7.767319991
516,2,Nigeria,6.9,45.826,68550274,1980,68550274,1,80,7.836009195
517,2,Nigeria,6.834,46.886,77573154,1985,77573154,1,85,7.8897114495
518,2,Nigeria,6.635,47.472,88510354,1990,88510354,1,90,7.9469940777
519,2,Nigeria,6.246,47.464,100960105,95,100960105,1,95,8.0041497936
52,1,Austria,1.388,77.51,8047433,95,8047433,1,95,6.9056573696
520,2,Nigeria,5.845,46.608,114306700,2000,114306700,1,0,8.058071687
521,2,Nigeria,5.322,46.859,128765768,2005,128765768,1,5,8.1098004225
522,1,Norway,2.837,73.44,3427409,1955,3427409,1,55,6.5349659328
523,1,Norway,2.898,73.47,3581239,1960,3581239,1,60,6.5540333054
524,1,Norway,2.719,74.08,3723153,1965,3723153,1,65,6.5709108836
525,1,Norway,2.248,74.34,3877386,1970,3877386,1,70,6.5885390379
526,1,Norway,1.81,75.37,4007313,1975,4007313,1,75,6.6028532653
527,1,Norway,1.687,75.97,4085620,1980,4085620,1,80,6.6112579708
528,1,Norway,1.8,75.89,4152419,1985,4152419,1,85,6.6183011696
529,1,Norway,1.886,77.32,4242006,1990,4242006,1,90,6.6275712785
53,1,Austria,1.382,78.98,8113413,2000,8113413,1,0,6.9092035836
530,1,Norway,1.853,78.32,4359101,95,4359101,1,95,6.6393969317
531,1,Norway,1.801,79.05,4492400,2000,4492400,1,0,6.6524784186
532,1,Norway,1.848,80.196,4593041,2005,4593041,1,5,6.6621003222
533,0,Pakistan,6.6,45.557,44434445,1955,44434445,1,55,7.6477197601
534,0,Pakistan,6.6,47.67,50386898,1960,50386898,1,60,7.7023176224
535,0,Pakistan,6.6,49.8,57494940,1965,57494940,1,65,7.7596296251
536,0,Pakistan,6.6,51.929,65705964,1970,65705964,1,70,7.8176047914
537,0,Pakistan,6.6,54.043,74711541,1975,74711541,1,75,7.8733876943
538,0,Pakistan,6.6,56.158,85219117,1980,85219117,1,80,7.9305370299
539,0,Pakistan,6.66,58.245,99060352,1985,99060352,1,85,7.9958998669
54,1,Austria,1.42,79.829,8184691,2005,8184691,1,5,6.913002288
540,0,Pakistan,5.8,60.838,114578478,1990,114578478,1,90,8.059103049
541,0,Pakistan,4.9596,61.818,128690285,95,128690285,1,95,8.1095457627
542,0,Pakistan,3.9936,63.61,146342958,2000,146342958,1,0,8.1653718291
543,0,Pakistan,3.5211,65.483,162419946,2005,162419946,1,5,8.2106393618
544,3,Peru,6.853,46.263,8671500,1955,8671500,1,55,6.9380942284
545,3,Peru,6.853,49.096,9931000,1960,9931000,1,60,6.9969929819
546,3,Peru,6.56,51.445,11467300,1965,11467300,1,65,7.0594611744
547,3,Peru,6.0,55.448,13192800,1970,13192800,1,70,7.1203369787
548,3,Peru,5.378,58.447,15161199,1975,15161199,1,75,7.1807335482
549,3,Peru,4.65,61.406,17295298,1980,17295298,1,80,7.2379280494
55,3,Bahamas,4.305,62.405,87138,1955,87138,1,55,4.9402075877
550,3,Peru,4.1,64.134,19348926,1985,19348926,1,85,7.2866568637
551,3,Peru,3.7,66.458,21511443,1990,21511443,1,90,7.3326695441
552,3,Peru,3.0995,68.386,23846388,95,23846388,1,95,7.377422606
553,3,Peru,2.7005,69.906,25979722,2000,25979722,1,0,7.4146344995
554,3,Peru,2.5065,71.421,27925628,2005,27925628,1,5,7.4460029484
555,4,Philippines,7.13,51.334,24553055,1955,24553055,1,55,7.3901055367
556,4,Philippines,6.85,54.757,28528939,1960,28528939,1,60,7.4552856204
557,4,Philippines,6.5,56.393,33267569,1965,33267569,1,65,7.5220210663
558,4,Philippines,6.0,58.065,38603696,1970,38603696,1,70,7.5866288869
559,4,Philippines,5.5,60.06,44336842,1975,44336842,1,75,7.6467647562
56,3,Bahamas,4.503,64.209,112234,1960,112234,1,60,5.0501244414
560,4,Philippines,4.95,62.082,50940182,1980,50940182,1,80,7.7070604923
561,4,Philippines,4.55,64.151,57288037,1985,57288037,1,85,7.7580639412
562,4,Philippines,4.143,66.458,64318120,1990,64318120,1,90,7.8083333416
563,4,Philippines,3.7248,68.564,71717437,95,71717437,1,95,7.8556247606
564,4,Philippines,3.5436,70.303,79739825,2000,79739825,1,0,7.9016752782
565,4,Philippines,3.2327,71.688,87857473,2005,87857473,1,5,7.9437787077
566,1,Poland,3.29,65.77,27220668,1955,27220668,1,55,7.4348987787
567,1,Poland,2.65,67.64,29589842,1960,29589842,1,60,7.4711426462
568,1,Poland,2.27,69.61,31262358,1965,31262358,1,65,7.4950217321
569,1,Poland,2.25,70.85,32526000,1970,32526000,1,70,7.5122306577
57,3,Bahamas,3.794,65.795,139205,1965,139205,1,65,5.1436548347
570,1,Poland,2.26,70.67,33969240,1975,33969240,1,75,7.5310858304
571,1,Poland,2.33,71.32,35578016,1980,35578016,1,80,7.5511817261
572,1,Poland,2.15,70.98,37225792,1985,37225792,1,85,7.5708439464
573,1,Poland,1.89,70.99,38119408,1990,38119408,1,90,7.5811461474
574,1,Poland,1.478,72.75,38600642,95,38600642,1,95,7.5865945279
575,1,Poland,1.251,74.67,38654164,2000,38654164,1,0,7.5871962849
576,1,Poland,1.227,75.563,38557984,2005,38557984,1,5,7.5861143188
577,1,Portugal,3.03,61.51,8692600,1955,8692600,1,55,6.9391496955
578,1,Portugal,3.074,64.39,9036700,1960,9036700,1,60,6.9560098648
579,1,Portugal,2.849,66.6,9128850,1965,9128850,1,65,6.9604160711
58,3,Bahamas,3.444,66.515,170323,1970,170323,1,70,5.231273298
580,1,Portugal,2.748,69.26,9044200,1970,9044200,1,70,6.9563701576
581,1,Portugal,2.41,70.41,9411090,1975,9411090,1,75,6.9736399267
582,1,Portugal,1.982,72.77,9777800,1980,9777800,1,80,6.9902411497
583,1,Portugal,1.594,74.06,9897192,1985,9897192,1,85,6.9955119954
584,1,Portugal,1.516,74.86,9922689,1990,9922689,1,90,6.9966293798
585,1,Portugal,1.475,75.97,10065543,95,10065543,1,95,7.0028372085
586,1,Portugal,1.454,77.29,10335597,2000,10335597,1,0,7.0143355672
587,1,Portugal,1.455,78.098,10566212,2005,10566212,1,5,7.0239193201
588,2,Rwanda,8.0,41.5,2698272,1955,2698272,1,55,6.4310857267
589,2,Rwanda,8.1,43.0,3031804,1960,3031804,1,60,6.4817011216
59,3,Bahamas,3.221,67.199,189139,1975,189139,1,75,5.2767810885
590,2,Rwanda,8.2,44.1,3264640,1965,3264640,1,65,6.5138352975
591,2,Rwanda,8.29,44.6,3769171,1970,3769171,1,70,6.576245841
592,2,Rwanda,8.492,45.0,4356863,1975,4356863,1,75,6.6391739039
593,2,Rwanda,8.5,46.218,5138689,1980,5138689,1,80,6.7108523344
594,2,Rwanda,8.25,44.02,6009833,1985,6009833,1,85,6.7788624041
595,2,Rwanda,6.9,23.599,6923738,1990,6923738,1,90,6.8403406255
596,2,Rwanda,6.0993,36.087,5706501,95,5706501,1,95,6.7563698977
597,2,Rwanda,6.01,43.413,7507056,2000,7507056,1,0,6.8754696556
598,2,Rwanda,5.9169,46.242,8440820,2005,8440820,1,5,6.9263846391
599,5,Saudi Arabia,7.175,42.868,4243218,1955,4243218,1,55,6.6276953447
6,0,Afghanistan,7.9,40.822,13796928,1985,13796928,1,85,7.1397823979
60,3,Bahamas,3.16,67.874,209944,1980,209944,1,80,5.3221034674
600,5,Saudi Arabia,7.257,45.914,4718301,1960,4718301,1,60,6.6737856429
601,5,Saudi Arabia,7.257,49.901,5327432,1965,5327432,1,65,6.726517915
602,5,Saudi Arabia,7.298,53.886,6109051,1970,6109051,1,70,6.7859737508
603,5,Saudi Arabia,7.278,58.69,7204820,1975,7204820,1,75,6.8576231352
604,5,Saudi Arabia,7.015,63.012,9999161,1980,9999161,1,80,6.9999635612
605,5,Saudi Arabia,6.217,66.295,13330067,1985,13330067,1,85,7.1248323323
606,5,Saudi Arabia,5.446,68.768,16060761,1990,16060761,1,90,7.2057661194
607,5,Saudi Arabia,4.621,70.533,19966998,95,19966998,1,95,7.3003127744
608,5,Saudi Arabia,3.81,71.626,23153090,2000,23153090,1,0,7.3646089599
609,5,Saudi Arabia,3.352,72.777,26417599,2005,26417599,1,5,7.4218933436
61,3,Bahamas,2.62,69.524,234988,1985,234988,1,85,5.371045685
610,2,South Africa,6.5,47.985,15368551,1955,15368551,1,55,7.1866329226
611,2,South Africa,6.3,49.951,17416653,1960,17416653,1,60,7.2409646993
612,2,South Africa,5.7,51.927,19898242,1965,19898242,1,65,7.2988147084
613,2,South Africa,5.47,53.696,22739921,1970,22739921,1,70,7.3567889516
614,2,South Africa,5.0,55.527,25815144,1975,25815144,1,75,7.4118745519
615,2,South Africa,4.556,58.161,29251588,1980,29251588,1,80,7.4661494479
616,2,South Africa,3.85,60.834,34254092,1985,34254092,1,85,7.5347124598
617,2,South Africa,3.343,61.888,38391094,1990,38391094,1,90,7.584230488
618,2,South Africa,2.954,60.236,41779149,95,41779149,1,95,7.6209595896
619,2,South Africa,2.802,53.365,44066197,2000,44066197,1,0,7.6441055717
62,3,Bahamas,2.6,69.171,257253,1990,257253,1,90,5.4103604481
620,2,South Africa,2.637,49.339,44344136,2005,44344136,1,5,7.6468361975
621,1,Spain,2.75,66.66,29318745,1955,29318745,1,55,7.4671453762
622,1,Spain,2.89,69.69,30641187,1960,30641187,1,60,7.4863055853
623,1,Spain,2.92,71.44,32084511,1965,32084511,1,65,7.5062954246
624,1,Spain,2.86,73.06,33876479,1970,33876479,1,70,7.529898265
625,1,Spain,2.57,74.39,35563535,1975,35563535,1,75,7.5510049231
626,1,Spain,1.89,76.3,37488360,1980,37488360,1,80,7.5738964418
627,1,Spain,1.48,76.9,38534853,1985,38534853,1,85,7.5858537066
628,1,Spain,1.27,77.57,39350769,1990,39350769,1,90,7.5949532238
629,1,Spain,1.182,78.77,39749715,95,39749715,1,95,7.5993340192
63,3,Bahamas,2.4,68.472,275303,95,275303,1,95,5.439810944
630,1,Spain,1.287,79.78,40016081,2000,40016081,1,0,7.6022345535
631,1,Spain,1.409,80.941,40341462,2005,40341462,1,5,7.6057516333
632,1,Switzerland,2.34,70.56,4980000,1955,4980000,1,55,6.6972293428
633,1,Switzerland,2.51,71.32,5362000,1960,5362000,1,60,6.7293268096
634,1,Switzerland,2.27,72.77,5943000,1965,5943000,1,65,6.7740057303
635,1,Switzerland,1.82,73.78,6267000,1970,6267000,1,70,6.7970596947
636,1,Switzerland,1.53,75.39,6403500,1975,6403500,1,75,6.8064174139
637,1,Switzerland,1.53,76.21,6385229,1980,6385229,1,80,6.8051764774
638,1,Switzerland,1.53,77.41,6563770,1985,6563770,1,85,6.8171533546
639,1,Switzerland,1.54,78.03,6836626,1990,6836626,1,90,6.8348418223
64,3,Bahamas,2.1111,71.068,290075,2000,290075,1,0,5.4625103009
640,1,Switzerland,1.47,79.37,7157106,95,7157106,1,95,6.8547374494
641,1,Switzerland,1.415,80.62,7266920,2000,7266920,1,0,6.8613503792
642,1,Switzerland,1.42,81.701,7489370,2005,7489370,1,5,6.8744452867
643,1,Turkey,6.6,48.079,24144571,1955,24144571,1,55,7.3828194933
644,1,Turkey,6.19,52.098,28217122,1960,28217122,1,60,7.4505127159
645,1,Turkey,5.7,54.336,31950718,1965,31950718,1,65,7.5044806221
646,4,Turkey,5.3,57.005,35758382,1970,35758382,1,70,7.5533778596
647,1,Turkey,4.715,59.507,40529798,1975,40529798,1,75,7.6077744392
648,1,Turkey,4.15,61.036,45120802,1980,45120802,1,80,7.6543768104
649,1,Turkey,3.276,63.108,50669003,1985,50669003,1,85,7.7047423589
65,3,Bahamas,2.0221,73.495,301790,2005,301790,1,5,5.4797048451
650,1,Turkey,2.904,66.146,56084632,1990,56084632,1,90,7.7488438746
651,1,Turkey,2.574,68.835,61188984,95,61188984,1,95,7.7866732421
652,1,Turkey,2.23,70.845,65666677,2000,65666677,1,0,7.8173450398
653,1,Turkey,2.143,71.777,69660559,2005,69660559,1,5,7.8429869552
654,1,United Kingdom,2.49,70.42,50946000,1955,50946000,1,55,7.7071100913
655,1,United Kingdom,2.81,70.76,52372000,1960,52372000,1,60,7.7190991592
656,1,United Kingdom,2.52,71.36,54350000,1965,54350000,1,65,7.7351995484
657,1,United Kingdom,2.04,72.01,55632000,1970,55632000,1,70,7.7453246733
658,1,United Kingdom,1.72,72.76,56215000,1975,56215000,1,75,7.749852215
659,1,United Kingdom,1.8,74.04,56314000,1980,56314000,1,80,7.7506163765
66,0,Bangladesh,6.76,39.348,49601520,1955,49601520,1,55,7.6954949853
660,1,United Kingdom,1.81,75.007,56620240,1985,56620240,1,85,7.7529717059
661,1,United Kingdom,1.78,76.42,57493307,1990,57493307,1,90,7.7596172899
662,1,United Kingdom,1.7,77.218,58426014,95,58426014,1,95,7.7666062584
663,1,United Kingdom,1.695,78.471,59522468,2000,59522468,1,0,7.7746809302
664,1,United Kingdom,1.815,79.425,60441457,2005,60441457,1,5,7.7813349249
665,3,United States,3.706,69.49,165931000,1955,165931000,1,55,8.2199275305
666,3,United States,3.314,70.21,180671000,1960,180671000,1,60,8.2568884484
667,3,USA,2.545,70.76,194303000,1965,194303000,1,65,8.2884795061
668,3,USA,2.016,71.34,205052000,1970,205052000,1,70,8.3118640096
669,3,USA,1.788,73.38,215973000,1975,215973000,1,75,8.3343994609
67,0,Bangladesh,6.85,41.216,54621538,1960,54621538,1,60,7.7373639246
670,3,United States,1.825,74.65,227726463,1980,227726463,1,80,8.3574135008
671,3,United States,1.924,75.02,238466283,1985,238466283,1,85,8.3774269824
672,3,United States,2.025,76.09,250131894,1990,250131894,1,90,8.3981690716
673,3,United States,1.994,76.81,266557091,95,266557091,1,95,8.4257902402
674,3,United States,2.038,77.31,282338631,2000,282338631,1,0,8.4507703046
675,3,United States,2.054,78.242,295734134,2005,295734134,1,5,8.4709014542
676,3,Venezuela,6.4585,57.907,6170497,1955,6170497,1,55,6.7903201455
677,3,Venezuela,6.657,60.77,7556483,1960,7556483,1,60,6.8783197096
678,3,Venezuela,5.9045,63.479,9067735,1965,9067735,1,65,6.9574988196
679,3,Venezuela,4.941,65.712,10758017,1970,10758017,1,70,7.0317322262
68,0,Bangladesh,6.6,43.453,60332117,1965,60332117,1,65,7.7805485646
680,3,Venezuela,4.4685,67.456,12674987,1975,12674987,1,75,7.1029475226
681,3,Venezuela,3.957,68.557,14767890,1980,14767890,1,80,7.1693184488
682,3,Venezuela,3.6485,70.19,16997509,1985,16997509,1,85,7.2303852798
683,3,Venezuela,3.25,71.15,19325222,1990,19325222,1,90,7.2861244916
684,3,Venezuela,2.9415,72.146,21555902,95,21555902,1,95,7.3335662005
685,3,Venezuela,2.723,72.766,23542649,2000,23542649,1,0,7.3718553277
686,3,Venezuela,2.547,73.747,25375281,2005,25375281,1,5,7.4044108602
69,0,Bangladesh,6.15,45.252,67402621,1970,67402621,1,70,7.8286767847
7,0,Afghanistan,8.0,41.674,14669339,1990,14669339,1,90,7.166410545
70,0,Bangladesh,5.6,46.923,76253310,1975,76253310,1,75,7.8822587003
71,0,Bangladesh,5.25,50.009,88076996,1980,88076996,1,80,7.9448624939
72,0,Bangladesh,4.629,52.819,99752733,1985,99752733,1,85,7.9989248032
73,0,Bangladesh,4.117,56.018,109896945,1990,109896945,1,90,8.0409856197
74,0,Bangladesh,3.5043,59.412,119186448,95,119186448,1,95,8.0762268771
75,0,Bangladesh,3.224,62.013,130406594,2000,130406594,1,0,8.115299552
76,0,Bangladesh,2.826,64.062,144319628,2005,144319628,1,5,8.1593254008
77,3,Barbados,4.67,62.57,227255,1955,227255,1,55,5.3565134472
78,3,Barbados,4.26,65.87,232339,1960,232339,1,60,5.3661221158
79,3,Barbados,3.45,67.62,234980,1965,234980,1,65,5.3710308995
8,0,Afghanistan,8.0,41.763,20881480,95,20881480,1,95,7.3197612766
80,3,Barbados,2.74,69.42,238756,1970,238756,1,70,5.3779542943
81,3,Barbados,2.19,71.27,247147,1975,247147,1,75,5.3929553431
82,3,Barbados,1.92,72.695,251966,1980,251966,1,80,5.4013419415
83,3,Barbados,1.75,74.027,257446,1985,257446,1,85,5.4106861485
84,3,Barbados,1.6,74.894,262624,1990,262624,1,90,5.4193344117
85,3,Barbados,1.5,74.912,267907,95,267907,1,95,5.4279840612
86,3,Barbados,1.5,75.97,273483,2000,273483,1,0,5.4369303353
87,3,Barbados,1.5,77.296,278870,2005,278870,1,5,5.4454017967
88,1,Belgium,2.496,69.24,8868475,1955,8868475,1,55,6.9478489461
89,1,Belgium,2.644,70.25,9118700,1960,9118700,1,60,6.9599329279
9,0,Afghanistan,7.4792,42.129,23898198,2000,23898198,1,0,7.378365155
90,1,Belgium,2.392,70.94,9448100,1965,9448100,1,65,6.9753444813
91,1,Belgium,2.015,71.44,9637800,1970,9637800,1,70,6.9839779097
92,1,Belgium,1.705,72.8,9794800,1975,9794800,1,75,6.9909955726
93,1,Belgium,1.595,73.93,9846800,1980,9846800,1,80,6.993295117
94,1,Belgium,1.559,75.35,9858200,1985,9858200,1,85,6.9937976247
95,1,Belgium,1.613,76.46,9969310,1990,9969310,1,90,6.9986651008
96,1,Belgium,1.604,77.53,10155459,95,10155459,1,95,7.0066995572
97,1,Belgium,1.638,78.32,10263618,2000,10263618,1,0,7.0113004797
98,1,Belgium,1.646,79.441,10364388,2005,10364388,1,5,7.0155436628
99,3,Bolivia,6.75,41.89,3074311,1955,3074311,1,55,6.487747799
